lr_mode_key,lr_mode,policy_name,policy,seed,rounds,S,k,top_gap_lambda,transition_dominance,context_noise_level,transition_variant,trust_scale_mult,gate_scale_mult,gate_mode,beta_gate_concentration,trust_floor,trust_cap,offline_prior_weight,support_offline_leak,support_trust_cap,support_local_bonus,low_rank_blend_scale,low_rank_projection_weight,low_rank_local_bonus,support_mask_enabled,avg_reward,cum_reward,oracle_cum_reward,reward_pct_oracle,cum_regret,top1_agreement,top2_agreement,transition_l1_error,off_support_leakage,runtime_seconds,oracle_comparison,source_results,source_seed,run_seed,n_dc,n_jobs,budget,datacenter_ids,queue_states,operation_states,offline_support_sparsity,offline_support_source,state_definition,operation_type_0,operation_type_1,reward_function,lambda_lmp,batch_epsilon,inference_epsilon,batch_delay_weight,inference_delay_weight,policy_label,policy_display,experiment_id
global_lr,Global LR,TW gated + LR,tw,42,1500,80,7,0.0,0.0,0.0,gated_offline_low_rank,1.0,1.0,deterministic,20.0,0.1,0.95,1.5,0.0,,0.0,0.7,1.0,0.0,False,7.452076263122614,11178.114394683922,20749.722446590134,53.87115140193527,9571.608051906216,0.5706666666666667,0.6993333333333334,0.0933962016088921,0.0072941629927508,132.47649287500002,fixed_whittle_oracle_rollout,eight_dc_exp4_block_vs_global_lr_10seed_source.csv,42,3490,8,40,3,0|2|4|5|7|8|12|15,40,2,7,model_informed_from_datacenter_model_assignment,"s=(q,o)",batch-flexible training,interactive-heavy inference,"max(0, lambda_lmp * (P_default - P_hat_chosen) - lambda_delay_o * c_delay); P_hat_chosen = epsilon_o * P_chosen + (1 - epsilon_o) * P_default",1.0,0.9,0.5,0.04,0.35,tw_gated_offline_low_rank,TW,eight_dc_exp4_combine_variant_2d_state
global_lr,Global LR,TW gated + LR,tw,43,1500,80,7,0.0,0.0,0.0,gated_offline_low_rank,1.0,1.0,deterministic,20.0,0.1,0.95,1.5,0.0,,0.0,0.7,1.0,0.0,False,12.79425772883332,19191.38659324998,32010.18920030819,59.95399300253186,12818.80260705821,0.6146666666666667,0.7213333333333334,0.094191850556411,0.0074477831786799,136.971189209,fixed_whittle_oracle_rollout,eight_dc_exp4_block_vs_global_lr_10seed_source.csv,43,3491,8,40,3,0|2|4|5|7|8|12|15,40,2,7,model_informed_from_datacenter_model_assignment,"s=(q,o)",batch-flexible training,interactive-heavy inference,"max(0, lambda_lmp * (P_default - P_hat_chosen) - lambda_delay_o * c_delay); P_hat_chosen = epsilon_o * P_chosen + (1 - epsilon_o) * P_default",1.0,0.9,0.5,0.04,0.35,tw_gated_offline_low_rank,TW,eight_dc_exp4_combine_variant_2d_state
global_lr,Global LR,TW gated + LR,tw,44,1500,80,7,0.0,0.0,0.0,gated_offline_low_rank,1.0,1.0,deterministic,20.0,0.1,0.95,1.5,0.0,,0.0,0.7,1.0,0.0,False,10.8309346394294,16246.401959144105,25299.871102510773,64.21535466847419,9053.46914336667,0.6533333333333333,0.7513333333333333,0.0919134794496366,0.0071568616451823,137.77620820799996,fixed_whittle_oracle_rollout,eight_dc_exp4_block_vs_global_lr_10seed_source.csv,44,3492,8,40,3,0|2|4|5|7|8|12|15,40,2,7,model_informed_from_datacenter_model_assignment,"s=(q,o)",batch-flexible training,interactive-heavy inference,"max(0, lambda_lmp * (P_default - P_hat_chosen) - lambda_delay_o * c_delay); P_hat_chosen = epsilon_o * P_chosen + (1 - epsilon_o) * P_default",1.0,0.9,0.5,0.04,0.35,tw_gated_offline_low_rank,TW,eight_dc_exp4_combine_variant_2d_state
global_lr,Global LR,TW gated + LR,tw,45,1500,80,7,0.0,0.0,0.0,gated_offline_low_rank,1.0,1.0,deterministic,20.0,0.1,0.95,1.5,0.0,,0.0,0.7,1.0,0.0,False,14.759284633153666,22138.9269497305,39776.50128447695,55.6583063738951,17637.574334746452,0.6246666666666667,0.7253333333333334,0.0947979308071888,0.0075348420838992,137.12421849999998,fixed_whittle_oracle_rollout,eight_dc_exp4_block_vs_global_lr_10seed_source.csv,45,3493,8,40,3,0|2|4|5|7|8|12|15,40,2,7,model_informed_from_datacenter_model_assignment,"s=(q,o)",batch-flexible training,interactive-heavy inference,"max(0, lambda_lmp * (P_default - P_hat_chosen) - lambda_delay_o * c_delay); P_hat_chosen = epsilon_o * P_chosen + (1 - epsilon_o) * P_default",1.0,0.9,0.5,0.04,0.35,tw_gated_offline_low_rank,TW,eight_dc_exp4_combine_variant_2d_state
global_lr,Global LR,TW gated + LR,tw,46,1500,80,7,0.0,0.0,0.0,gated_offline_low_rank,1.0,1.0,deterministic,20.0,0.1,0.95,1.5,0.0,,0.0,0.7,1.0,0.0,False,3.182753305035772,4774.129957553658,22894.86724498152,20.852402883445983,18120.737287427863,0.5106666666666667,0.6473333333333333,0.0901722613903969,0.0069811352738949,135.64231516699988,fixed_whittle_oracle_rollout,eight_dc_exp4_block_vs_global_lr_10seed_source.csv,46,3494,8,40,3,0|2|4|5|7|8|12|15,40,2,7,model_informed_from_datacenter_model_assignment,"s=(q,o)",batch-flexible training,interactive-heavy inference,"max(0, lambda_lmp * (P_default - P_hat_chosen) - lambda_delay_o * c_delay); P_hat_chosen = epsilon_o * P_chosen + (1 - epsilon_o) * P_default",1.0,0.9,0.5,0.04,0.35,tw_gated_offline_low_rank,TW,eight_dc_exp4_combine_variant_2d_state
global_lr,Global LR,TW gated + LR,tw,47,1500,80,7,0.0,0.0,0.0,gated_offline_low_rank,1.0,1.0,deterministic,20.0,0.1,0.95,1.5,0.0,,0.0,0.7,1.0,0.0,False,5.381407584243154,8072.11137636473,36747.22106664009,21.96658996805819,28675.109690275363,0.5166666666666667,0.6113333333333333,0.0885783465513227,0.0068290814647851,136.04237708300002,fixed_whittle_oracle_rollout,eight_dc_exp4_block_vs_global_lr_10seed_source.csv,47,3495,8,40,3,0|2|4|5|7|8|12|15,40,2,7,model_informed_from_datacenter_model_assignment,"s=(q,o)",batch-flexible training,interactive-heavy inference,"max(0, lambda_lmp * (P_default - P_hat_chosen) - lambda_delay_o * c_delay); P_hat_chosen = epsilon_o * P_chosen + (1 - epsilon_o) * P_default",1.0,0.9,0.5,0.04,0.35,tw_gated_offline_low_rank,TW,eight_dc_exp4_combine_variant_2d_state
global_lr,Global LR,TW gated + LR,tw,48,1500,80,7,0.0,0.0,0.0,gated_offline_low_rank,1.0,1.0,deterministic,20.0,0.1,0.95,1.5,0.0,,0.0,0.7,1.0,0.0,False,4.04490217752408,6067.35326628612,17097.475730838,35.48683654712075,11030.12246455188,0.4346666666666666,0.5506666666666666,0.0913262812128001,0.0071561333510368,134.3501187499999,fixed_whittle_oracle_rollout,eight_dc_exp4_block_vs_global_lr_10seed_source.csv,48,3496,8,40,3,0|2|4|5|7|8|12|15,40,2,7,model_informed_from_datacenter_model_assignment,"s=(q,o)",batch-flexible training,interactive-heavy inference,"max(0, lambda_lmp * (P_default - P_hat_chosen) - lambda_delay_o * c_delay); P_hat_chosen = epsilon_o * P_chosen + (1 - epsilon_o) * P_default",1.0,0.9,0.5,0.04,0.35,tw_gated_offline_low_rank,TW,eight_dc_exp4_combine_variant_2d_state
global_lr,Global LR,TW gated + LR,tw,49,1500,80,7,0.0,0.0,0.0,gated_offline_low_rank,1.0,1.0,deterministic,20.0,0.1,0.95,1.5,0.0,,0.0,0.7,1.0,0.0,False,5.655437341891301,8483.156012836951,17431.26163443821,48.66633403102123,8948.10562160126,0.502,0.632,0.0886291306576677,0.0068410451519915,133.2213896249998,fixed_whittle_oracle_rollout,eight_dc_exp4_block_vs_global_lr_10seed_source.csv,49,3497,8,40,3,0|2|4|5|7|8|12|15,40,2,7,model_informed_from_datacenter_model_assignment,"s=(q,o)",batch-flexible training,interactive-heavy inference,"max(0, lambda_lmp * (P_default - P_hat_chosen) - lambda_delay_o * c_delay); P_hat_chosen = epsilon_o * P_chosen + (1 - epsilon_o) * P_default",1.0,0.9,0.5,0.04,0.35,tw_gated_offline_low_rank,TW,eight_dc_exp4_combine_variant_2d_state
global_lr,Global LR,TW gated + LR,tw,50,1500,80,7,0.0,0.0,0.0,gated_offline_low_rank,1.0,1.0,deterministic,20.0,0.1,0.95,1.5,0.0,,0.0,0.7,1.0,0.0,False,9.88076463330674,14821.14694996011,16466.113779800835,90.00998746979009,1644.966829840725,0.6973333333333334,0.796,0.0959698655477908,0.0076298785326141,133.49347662499986,fixed_whittle_oracle_rollout,eight_dc_exp4_block_vs_global_lr_10seed_source.csv,50,3498,8,40,3,0|2|4|5|7|8|12|15,40,2,7,model_informed_from_datacenter_model_assignment,"s=(q,o)",batch-flexible training,interactive-heavy inference,"max(0, lambda_lmp * (P_default - P_hat_chosen) - lambda_delay_o * c_delay); P_hat_chosen = epsilon_o * P_chosen + (1 - epsilon_o) * P_default",1.0,0.9,0.5,0.04,0.35,tw_gated_offline_low_rank,TW,eight_dc_exp4_combine_variant_2d_state
global_lr,Global LR,TW gated + LR,tw,51,1500,80,7,0.0,0.0,0.0,gated_offline_low_rank,1.0,1.0,deterministic,20.0,0.1,0.95,1.5,0.0,,0.0,0.7,1.0,0.0,False,8.468323874089492,12702.485811134238,28156.140955222458,45.11444175299228,15453.65514408822,0.57,0.6806666666666666,0.0933959066313238,0.0073822721753448,133.9352695829998,fixed_whittle_oracle_rollout,eight_dc_exp4_block_vs_global_lr_10seed_source.csv,51,3499,8,40,3,0|2|4|5|7|8|12|15,40,2,7,model_informed_from_datacenter_model_assignment,"s=(q,o)",batch-flexible training,interactive-heavy inference,"max(0, lambda_lmp * (P_default - P_hat_chosen) - lambda_delay_o * c_delay); P_hat_chosen = epsilon_o * P_chosen + (1 - epsilon_o) * P_default",1.0,0.9,0.5,0.04,0.35,tw_gated_offline_low_rank,TW,eight_dc_exp4_combine_variant_2d_state
