S,noise,comparison,comparator,best_refined,mean_margin,sd,ci95_low,ci95_high,paired_t_p,wilcoxon_p,positive_seeds,n,significant_0.05
8,0.0,vs baseline,EXP4,Adp. TW + beta gated prior,8.990624431762033,13.271291105042161,-0.503085311611505,18.484334175135572,0.060795171911315726,0.037109375,9,10,False
8,0.0,vs TW,TW,Adp. TW + beta gated prior,16.82562673069861,9.951697184167594,9.706611423699602,23.944642037697616,0.0004644497202319595,0.00390625,9,10,True
8,0.1,vs baseline,EXP4,Adp. TW + beta gated prior + low-rank,6.320176899422482,18.69517015985916,-7.053542183059908,19.693895981904873,0.3128781902450394,0.275390625,6,10,False
8,0.1,vs TW,TW,Adp. TW + beta gated prior + low-rank,23.90988062017032,23.602729131285056,7.0255053359333814,40.79425590440726,0.010771860435647177,0.00390625,9,10,True
8,0.2,vs baseline,EXP4,Adp. TW + beta support-gated prior + low-rank,-0.7143027533266888,6.267942836203574,-5.198118947545058,3.7695134408916804,0.7268778771280733,0.845703125,5,10,False
8,0.2,vs TW,TW,Adp. TW + beta support-gated prior + low-rank,22.600659493754012,22.76539743062904,6.315275224184315,38.88604376332371,0.01193966449651481,0.001953125,10,10,True
8,0.3,vs baseline,EXP4,Adp. TW + support/offline prior,1.102650818392655,4.44938211994171,-2.080245408488688,4.285547045273998,0.4533577701879794,0.556640625,6,10,False
8,0.3,vs TW,TW,Adp. TW + support/offline prior,15.087914069681009,9.315226411434502,8.424202525416355,21.751625613945663,0.0006263261413437956,0.001953125,10,10,True
20,0.0,vs baseline,EXP4,Adp. TW + beta support-gated prior + low-rank,16.323823765084388,12.059975005549415,7.696637358817846,24.95101017135093,0.0020490149681800635,0.001953125,10,10,True
20,0.0,vs TW,TW,Adp. TW + beta support-gated prior + low-rank,34.11677467473852,12.92388424003745,24.871584831433864,43.36196451804318,1.5729292572666646e-05,0.001953125,10,10,True
20,0.1,vs baseline,EXP4,Adp. TW + beta support-gated prior + low-rank,12.403924444259463,13.276770411599655,2.906295041099993,21.90155384741893,0.016105839635504927,0.013671875,9,10,True
20,0.1,vs TW,TW,Adp. TW + beta support-gated prior + low-rank,26.44846934848631,9.966415027969601,19.31892553028228,33.57801316669034,1.5075190944268103e-05,0.001953125,10,10,True
20,0.2,vs baseline,EXP4,Adp. TW + beta gated prior,14.654302552155912,9.928238317083103,7.5520687077324595,21.756536396579364,0.0011725719295724991,0.00390625,9,10,True
20,0.2,vs TW,TW,Adp. TW + beta gated prior,26.018129239979608,13.406441076569122,16.42773903113013,35.608519448829085,0.00017137177644103917,0.001953125,10,10,True
20,0.3,vs baseline,EXP4,Adp. TW + beta gated prior,10.802188581697816,14.46444169655968,0.4549503227981475,21.149426840597485,0.04248841328802951,0.048828125,7,10,True
20,0.3,vs TW,TW,Adp. TW + beta gated prior,23.87761616844852,19.07309000279269,10.233549516413602,37.521682820483434,0.0033099944021325804,0.00390625,9,10,True
50,0.0,vs baseline,EXP4,Adp. TW + beta support-gated prior + low-rank,6.815805354517943,14.756722940755902,-3.7405183109083566,17.372129019944243,0.17814021447161246,0.193359375,7,10,False
50,0.0,vs TW,TW,Adp. TW + beta support-gated prior + low-rank,29.379516324141377,13.616782464168494,19.63865695105752,39.120375697225235,7.704072232705975e-05,0.001953125,10,10,True
