policy,seed,rounds,S,k,top_gap_lambda,transition_dominance,context_noise_level,transition_variant,trust_scale_mult,gate_scale_mult,gate_mode,beta_gate_concentration,trust_floor,trust_cap,support_mask_enabled,avg_reward,cum_reward,oracle_cum_reward,reward_pct_oracle,cum_regret,top1_agreement,top2_agreement,transition_l1_error,off_support_leakage,runtime_seconds,policy_label,experiment_id
exp4,20261395,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,8640.834737622827,864083.4737622826,852866.9736082355,101.31515236269418,-11216.500154047157,0.74,0.91,0.1812330326860417,0.0461055015691829,0.4921096250000003,exp4_dense,context_noise_refinement
exp4,20261396,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,9484.333075016966,948433.3075016966,1125629.5782190743,84.25802998196525,177196.27071737766,0.56,0.86,0.1779035219625252,0.039881235233846,0.5014163329999999,exp4_dense,context_noise_refinement
exp4,20261397,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,11699.351276272,1169935.1276272,1544028.2784342917,75.77161273325657,374093.1508070917,0.57,0.82,0.1892016212367956,0.0478349766270756,0.4887702090000019,exp4_dense,context_noise_refinement
exp4,20261398,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,4313.322808803928,431332.28088039276,631329.1306407806,68.3213018291431,199996.8497603878,0.35,0.59,0.19081411427022113,0.05886410779040253,0.4578707089999998,exp4_dense,context_noise_refinement
exp4,20261399,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,8621.836732640175,862183.6732640176,841204.7899891206,102.4939091556015,-20978.883274897,0.73,0.89,0.18314762338694543,0.06269793723092552,0.45808991600000004,exp4_dense,context_noise_refinement
exp4,20261400,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,6449.910149085077,644991.0149085077,699301.3994432276,92.23362278726155,54310.384534719866,0.67,0.84,0.177186716099113,0.052324814134263965,0.46736566600000007,exp4_dense,context_noise_refinement
exp4,20261401,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,10294.515089435305,1029451.5089435304,1294400.127628036,79.5311655932838,264948.6186845057,0.6,0.85,0.18567734119004653,0.04013852769545151,0.4543507499999997,exp4_dense,context_noise_refinement
exp4,20261402,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,8113.6397306516255,811363.9730651625,875377.65006013,92.68730735922144,64013.67699496751,0.63,0.77,0.18462805881260702,0.06262692437270788,0.463261417,exp4_dense,context_noise_refinement
exp4,20261403,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,11840.934926163296,1184093.4926163296,1270763.6704078156,93.17967771586737,86670.17779148603,0.68,0.82,0.1996314863763898,0.05017565077085972,0.46047054200000037,exp4_dense,context_noise_refinement
exp4,20261404,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,6239.455412103844,623945.5412103843,776262.5932452896,80.37815381543511,152317.0520349053,0.51,0.71,0.19728218980245274,0.062449612455295817,0.4575885419999999,exp4_dense,context_noise_refinement
global_ucb_tw,20262374,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,7226.362204988158,722636.2204988158,792590.9977054279,91.17391221839094,69954.77720661217,0.65,0.85,0.1731922467380409,0.0454507911386393,0.4916122090000003,global_ucb_tw_dense,context_noise_refinement
global_ucb_tw,20262375,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,8447.686615869408,844768.6615869409,1199169.9727898578,70.44611529269653,354401.3112029169,0.54,0.77,0.1709157320020065,0.039852327057312,0.4892936670000001,global_ucb_tw_dense,context_noise_refinement
