experiment_folder,experiment,policy,seed,rounds,S,k,top_gap_lambda,transition_dominance,context_noise_level,transition_variant,trust_scale_mult,gate_scale_mult,gate_mode,beta_gate_concentration,trust_floor,trust_cap,offline_prior_weight,support_offline_leak,support_trust_cap,support_local_bonus,low_rank_blend_scale,low_rank_projection_weight,low_rank_local_bonus,support_mask_enabled,avg_reward,cum_reward,oracle_cum_reward,reward_pct_oracle,cum_regret,top1_agreement,top2_agreement,transition_l1_error,off_support_leakage,runtime_seconds,oracle_comparison,source_results,source_seed,run_seed,n_dc,n_jobs,budget,datacenter_ids,queue_states,operation_states,offline_support_sparsity,offline_support_source,state_definition,operation_type_0,operation_type_1,reward_function,lambda_lmp,batch_epsilon,inference_epsilon,batch_delay_weight,inference_delay_weight,policy_label,policy_display,experiment_id
gated_offline_block_lr,Gated offline + block LR,tw,42,1500,80,7,0.0,0.0,0.0,gated_offline_low_rank,1.0,1.0,deterministic,20.0,0.1,0.95,1.5,0.0,,0.0,0.7,1.0,0.0,False,552.3490897379379,828523.6346069069,1842954.0101818845,44.956283772113146,1014430.3755749774,0.372,0.67,0.1006388677259023,0.0081551931994967,106.219344375,fixed_whittle_oracle_rollout,eight_dc_exp4_combine_variant_2d_state_mit_supercloud_rules_offline_10seed_source.csv,42,3490,8,40,3,0|1|2|3|4|5|6|7,40,2,7,model_informed_from_datacenter_model_assignment,"s=(q,o)",batch-flexible training,interactive-heavy inference,"max(0, lambda_lmp * (P_default - P_hat_chosen) - lambda_delay_o * c_delay); P_hat_chosen = epsilon_o * P_chosen + (1 - epsilon_o) * P_default",1.0,0.9,0.5,0.04,0.35,tw_gated_offline_low_rank,TW,eight_dc_exp4_combine_variant_2d_state
gated_offline_block_lr,Gated offline + block LR,tw,43,1500,80,7,0.0,0.0,0.0,gated_offline_low_rank,1.0,1.0,deterministic,20.0,0.1,0.95,1.5,0.0,,0.0,0.7,1.0,0.0,False,807.8837862301866,1211825.67934528,1637500.5162002596,74.00459831043366,425674.8368549796,0.616,0.802,0.1072793827596092,0.0089485781897044,108.36282150000002,fixed_whittle_oracle_rollout,eight_dc_exp4_combine_variant_2d_state_mit_supercloud_rules_offline_10seed_source.csv,43,3491,8,40,3,0|1|2|3|4|5|6|7,40,2,7,model_informed_from_datacenter_model_assignment,"s=(q,o)",batch-flexible training,interactive-heavy inference,"max(0, lambda_lmp * (P_default - P_hat_chosen) - lambda_delay_o * c_delay); P_hat_chosen = epsilon_o * P_chosen + (1 - epsilon_o) * P_default",1.0,0.9,0.5,0.04,0.35,tw_gated_offline_low_rank,TW,eight_dc_exp4_combine_variant_2d_state
gated_offline_block_lr,Gated offline + block LR,tw,44,1500,80,7,0.0,0.0,0.0,gated_offline_low_rank,1.0,1.0,deterministic,20.0,0.1,0.95,1.5,0.0,,0.0,0.7,1.0,0.0,False,763.0323160917592,1144548.4741376387,1342067.8487402303,85.28245984076001,197519.3746025916,0.5953333333333334,0.812,0.09691637820695,0.0078039436770683,104.83998070799998,fixed_whittle_oracle_rollout,eight_dc_exp4_combine_variant_2d_state_mit_supercloud_rules_offline_10seed_source.csv,44,3492,8,40,3,0|1|2|3|4|5|6|7,40,2,7,model_informed_from_datacenter_model_assignment,"s=(q,o)",batch-flexible training,interactive-heavy inference,"max(0, lambda_lmp * (P_default - P_hat_chosen) - lambda_delay_o * c_delay); P_hat_chosen = epsilon_o * P_chosen + (1 - epsilon_o) * P_default",1.0,0.9,0.5,0.04,0.35,tw_gated_offline_low_rank,TW,eight_dc_exp4_combine_variant_2d_state
gated_offline_block_lr,Gated offline + block LR,tw,45,1500,80,7,0.0,0.0,0.0,gated_offline_low_rank,1.0,1.0,deterministic,20.0,0.1,0.95,1.5,0.0,,0.0,0.7,1.0,0.0,False,515.4893709777045,773234.0564665567,1132501.7834479506,68.2766303565909,359267.7269813939,0.444,0.622,0.097968472606408,0.007907471324336,110.59970020800006,fixed_whittle_oracle_rollout,eight_dc_exp4_combine_variant_2d_state_mit_supercloud_rules_offline_10seed_source.csv,45,3493,8,40,3,0|1|2|3|4|5|6|7,40,2,7,model_informed_from_datacenter_model_assignment,"s=(q,o)",batch-flexible training,interactive-heavy inference,"max(0, lambda_lmp * (P_default - P_hat_chosen) - lambda_delay_o * c_delay); P_hat_chosen = epsilon_o * P_chosen + (1 - epsilon_o) * P_default",1.0,0.9,0.5,0.04,0.35,tw_gated_offline_low_rank,TW,eight_dc_exp4_combine_variant_2d_state
gated_offline_block_lr,Gated offline + block LR,tw,46,1500,80,7,0.0,0.0,0.0,gated_offline_low_rank,1.0,1.0,deterministic,20.0,0.1,0.95,1.5,0.0,,0.0,0.7,1.0,0.0,False,613.744191902978,920616.2878544668,1585761.617979541,58.05515011943898,665145.330125074,0.2393333333333333,0.4213333333333333,0.1023146484866273,0.0083536306718808,109.47941945899991,fixed_whittle_oracle_rollout,eight_dc_exp4_combine_variant_2d_state_mit_supercloud_rules_offline_10seed_source.csv,46,3494,8,40,3,0|1|2|3|4|5|6|7,40,2,7,model_informed_from_datacenter_model_assignment,"s=(q,o)",batch-flexible training,interactive-heavy inference,"max(0, lambda_lmp * (P_default - P_hat_chosen) - lambda_delay_o * c_delay); P_hat_chosen = epsilon_o * P_chosen + (1 - epsilon_o) * P_default",1.0,0.9,0.5,0.04,0.35,tw_gated_offline_low_rank,TW,eight_dc_exp4_combine_variant_2d_state
gated_offline_block_lr,Gated offline + block LR,tw,47,1500,80,7,0.0,0.0,0.0,gated_offline_low_rank,1.0,1.0,deterministic,20.0,0.1,0.95,1.5,0.0,,0.0,0.7,1.0,0.0,False,767.4108151691217,1151116.2227536826,1522049.3908081525,75.62936063083222,370933.16805446986,0.6473333333333333,0.9226666666666666,0.1071763434226046,0.0089472016244021,110.554298292,fixed_whittle_oracle_rollout,eight_dc_exp4_combine_variant_2d_state_mit_supercloud_rules_offline_10seed_source.csv,47,3495,8,40,3,0|1|2|3|4|5|6|7,40,2,7,model_informed_from_datacenter_model_assignment,"s=(q,o)",batch-flexible training,interactive-heavy inference,"max(0, lambda_lmp * (P_default - P_hat_chosen) - lambda_delay_o * c_delay); P_hat_chosen = epsilon_o * P_chosen + (1 - epsilon_o) * P_default",1.0,0.9,0.5,0.04,0.35,tw_gated_offline_low_rank,TW,eight_dc_exp4_combine_variant_2d_state
gated_offline_block_lr,Gated offline + block LR,tw,48,1500,80,7,0.0,0.0,0.0,gated_offline_low_rank,1.0,1.0,deterministic,20.0,0.1,0.95,1.5,0.0,,0.0,0.7,1.0,0.0,False,490.31741358070167,735476.1203710525,1439053.5764517193,51.1083209413592,703577.4560806667,0.214,0.6766666666666666,0.1054486660474162,0.0087417432368348,108.92644083300002,fixed_whittle_oracle_rollout,eight_dc_exp4_combine_variant_2d_state_mit_supercloud_rules_offline_10seed_source.csv,48,3496,8,40,3,0|1|2|3|4|5|6|7,40,2,7,model_informed_from_datacenter_model_assignment,"s=(q,o)",batch-flexible training,interactive-heavy inference,"max(0, lambda_lmp * (P_default - P_hat_chosen) - lambda_delay_o * c_delay); P_hat_chosen = epsilon_o * P_chosen + (1 - epsilon_o) * P_default",1.0,0.9,0.5,0.04,0.35,tw_gated_offline_low_rank,TW,eight_dc_exp4_combine_variant_2d_state
gated_offline_block_lr,Gated offline + block LR,tw,49,1500,80,7,0.0,0.0,0.0,gated_offline_low_rank,1.0,1.0,deterministic,20.0,0.1,0.95,1.5,0.0,,0.0,0.7,1.0,0.0,False,712.1709066903976,1068256.3600355964,1214368.6732471597,87.96804327792265,146112.31321156328,0.4373333333333333,0.694,0.1020602372056304,0.0083205438476882,106.61147779199996,fixed_whittle_oracle_rollout,eight_dc_exp4_combine_variant_2d_state_mit_supercloud_rules_offline_10seed_source.csv,49,3497,8,40,3,0|1|2|3|4|5|6|7,40,2,7,model_informed_from_datacenter_model_assignment,"s=(q,o)",batch-flexible training,interactive-heavy inference,"max(0, lambda_lmp * (P_default - P_hat_chosen) - lambda_delay_o * c_delay); P_hat_chosen = epsilon_o * P_chosen + (1 - epsilon_o) * P_default",1.0,0.9,0.5,0.04,0.35,tw_gated_offline_low_rank,TW,eight_dc_exp4_combine_variant_2d_state
gated_offline_block_lr,Gated offline + block LR,tw,50,1500,80,7,0.0,0.0,0.0,gated_offline_low_rank,1.0,1.0,deterministic,20.0,0.1,0.95,1.5,0.0,,0.0,0.7,1.0,0.0,False,665.0776985691916,997616.5478537874,1916306.62434124,52.05933826987284,918690.0764874524,0.4586666666666666,0.6666666666666666,0.1011157259968436,0.0082352036599864,106.46283270800018,fixed_whittle_oracle_rollout,eight_dc_exp4_combine_variant_2d_state_mit_supercloud_rules_offline_10seed_source.csv,50,3498,8,40,3,0|1|2|3|4|5|6|7,40,2,7,model_informed_from_datacenter_model_assignment,"s=(q,o)",batch-flexible training,interactive-heavy inference,"max(0, lambda_lmp * (P_default - P_hat_chosen) - lambda_delay_o * c_delay); P_hat_chosen = epsilon_o * P_chosen + (1 - epsilon_o) * P_default",1.0,0.9,0.5,0.04,0.35,tw_gated_offline_low_rank,TW,eight_dc_exp4_combine_variant_2d_state
gated_offline_block_lr,Gated offline + block LR,tw,51,1500,80,7,0.0,0.0,0.0,gated_offline_low_rank,1.0,1.0,deterministic,20.0,0.1,0.95,1.5,0.0,,0.0,0.7,1.0,0.0,False,699.8390486518285,1049758.5729777429,1199140.2319628512,87.5426030247865,149381.65898510837,0.3333333333333333,0.56,0.1035364494385315,0.0084309068588909,107.52350304200012,fixed_whittle_oracle_rollout,eight_dc_exp4_combine_variant_2d_state_mit_supercloud_rules_offline_10seed_source.csv,51,3499,8,40,3,0|1|2|3|4|5|6|7,40,2,7,model_informed_from_datacenter_model_assignment,"s=(q,o)",batch-flexible training,interactive-heavy inference,"max(0, lambda_lmp * (P_default - P_hat_chosen) - lambda_delay_o * c_delay); P_hat_chosen = epsilon_o * P_chosen + (1 - epsilon_o) * P_default",1.0,0.9,0.5,0.04,0.35,tw_gated_offline_low_rank,TW,eight_dc_exp4_combine_variant_2d_state
