experiment_folder,experiment,policy,seed,rounds,S,k,top_gap_lambda,transition_dominance,context_noise_level,transition_variant,trust_scale_mult,gate_scale_mult,gate_mode,beta_gate_concentration,trust_floor,trust_cap,offline_prior_weight,support_offline_leak,support_trust_cap,support_local_bonus,low_rank_blend_scale,low_rank_projection_weight,low_rank_local_bonus,support_mask_enabled,avg_reward,cum_reward,oracle_cum_reward,reward_pct_oracle,cum_regret,top1_agreement,top2_agreement,transition_l1_error,off_support_leakage,runtime_seconds,oracle_comparison,source_results,source_seed,run_seed,n_dc,n_jobs,budget,datacenter_ids,queue_states,operation_states,offline_support_sparsity,offline_support_source,state_definition,operation_type_0,operation_type_1,reward_function,lambda_lmp,batch_epsilon,inference_epsilon,batch_delay_weight,inference_delay_weight,policy_label,policy_display,experiment_id
model_rules_union,Model + rules union,tw,42,1500,80,7,0.0,0.0,0.0,support_offline,1.0,1.0,deterministic,20.0,0.1,0.95,1.5,0.0,,0.0,0.7,1.0,0.0,True,852.9106351081278,1279365.9526621918,1842954.0101818845,69.41930973827877,563588.0575196925,0.5246666666666666,0.8706666666666667,0.0865401862208968,2.8294257616275335e-07,33.459262708,fixed_whittle_oracle_rollout,eight_dc_exp4_combine_variant_2d_state_mit_supercloud_rules_offline_10seed_source.csv,42,2814,8,40,3,0|1|2|3|4|5|6|7,40,2,7,model_informed_union_rule_based_support,"s=(q,o)",batch-flexible training,interactive-heavy inference,"max(0, lambda_lmp * (P_default - P_hat_chosen) - lambda_delay_o * c_delay); P_hat_chosen = epsilon_o * P_chosen + (1 - epsilon_o) * P_default",1.0,0.9,0.5,0.04,0.35,tw_support_offline,TW,eight_dc_exp4_combine_variant_2d_state
model_rules_union,Model + rules union,tw,43,1500,80,7,0.0,0.0,0.0,support_offline,1.0,1.0,deterministic,20.0,0.1,0.95,1.5,0.0,,0.0,0.7,1.0,0.0,True,806.881569165841,1210322.3537487616,1637500.5162002596,73.9127921960755,427178.162451498,0.552,0.854,0.0853187396892762,2.833049081985714e-07,33.848172375000004,fixed_whittle_oracle_rollout,eight_dc_exp4_combine_variant_2d_state_mit_supercloud_rules_offline_10seed_source.csv,43,2815,8,40,3,0|1|2|3|4|5|6|7,40,2,7,model_informed_union_rule_based_support,"s=(q,o)",batch-flexible training,interactive-heavy inference,"max(0, lambda_lmp * (P_default - P_hat_chosen) - lambda_delay_o * c_delay); P_hat_chosen = epsilon_o * P_chosen + (1 - epsilon_o) * P_default",1.0,0.9,0.5,0.04,0.35,tw_support_offline,TW,eight_dc_exp4_combine_variant_2d_state
model_rules_union,Model + rules union,tw,44,1500,80,7,0.0,0.0,0.0,support_offline,1.0,1.0,deterministic,20.0,0.1,0.95,1.5,0.0,,0.0,0.7,1.0,0.0,True,779.5149119931114,1169272.367989667,1342067.8487402303,87.1246836802802,172795.48075056332,0.68,0.8206666666666667,0.083155642156489,2.7997259357662e-07,34.293311708000005,fixed_whittle_oracle_rollout,eight_dc_exp4_combine_variant_2d_state_mit_supercloud_rules_offline_10seed_source.csv,44,2816,8,40,3,0|1|2|3|4|5|6|7,40,2,7,model_informed_union_rule_based_support,"s=(q,o)",batch-flexible training,interactive-heavy inference,"max(0, lambda_lmp * (P_default - P_hat_chosen) - lambda_delay_o * c_delay); P_hat_chosen = epsilon_o * P_chosen + (1 - epsilon_o) * P_default",1.0,0.9,0.5,0.04,0.35,tw_support_offline,TW,eight_dc_exp4_combine_variant_2d_state
model_rules_union,Model + rules union,tw,45,1500,80,7,0.0,0.0,0.0,support_offline,1.0,1.0,deterministic,20.0,0.1,0.95,1.5,0.0,,0.0,0.7,1.0,0.0,True,531.8707846611568,797806.1769917351,1132501.7834479506,70.44635060642287,334695.6064562155,0.3986666666666666,0.6666666666666666,0.0822989317331709,2.6673764414976897e-07,33.43498933299999,fixed_whittle_oracle_rollout,eight_dc_exp4_combine_variant_2d_state_mit_supercloud_rules_offline_10seed_source.csv,45,2817,8,40,3,0|1|2|3|4|5|6|7,40,2,7,model_informed_union_rule_based_support,"s=(q,o)",batch-flexible training,interactive-heavy inference,"max(0, lambda_lmp * (P_default - P_hat_chosen) - lambda_delay_o * c_delay); P_hat_chosen = epsilon_o * P_chosen + (1 - epsilon_o) * P_default",1.0,0.9,0.5,0.04,0.35,tw_support_offline,TW,eight_dc_exp4_combine_variant_2d_state
model_rules_union,Model + rules union,tw,46,1500,80,7,0.0,0.0,0.0,support_offline,1.0,1.0,deterministic,20.0,0.1,0.95,1.5,0.0,,0.0,0.7,1.0,0.0,True,720.7032621409455,1081054.8932114183,1585761.617979541,68.17259800932864,504706.72476812266,0.4533333333333333,0.6846666666666666,0.0856973044605345,2.828503372133513e-07,34.649469334,fixed_whittle_oracle_rollout,eight_dc_exp4_combine_variant_2d_state_mit_supercloud_rules_offline_10seed_source.csv,46,2818,8,40,3,0|1|2|3|4|5|6|7,40,2,7,model_informed_union_rule_based_support,"s=(q,o)",batch-flexible training,interactive-heavy inference,"max(0, lambda_lmp * (P_default - P_hat_chosen) - lambda_delay_o * c_delay); P_hat_chosen = epsilon_o * P_chosen + (1 - epsilon_o) * P_default",1.0,0.9,0.5,0.04,0.35,tw_support_offline,TW,eight_dc_exp4_combine_variant_2d_state
model_rules_union,Model + rules union,tw,47,1500,80,7,0.0,0.0,0.0,support_offline,1.0,1.0,deterministic,20.0,0.1,0.95,1.5,0.0,,0.0,0.7,1.0,0.0,True,814.4225362058784,1221633.8043088175,1522049.3908081525,80.26242851818196,300415.586499335,0.68,0.928,0.088746136962231,3.063348481593236e-07,34.72479745800001,fixed_whittle_oracle_rollout,eight_dc_exp4_combine_variant_2d_state_mit_supercloud_rules_offline_10seed_source.csv,47,2819,8,40,3,0|1|2|3|4|5|6|7,40,2,7,model_informed_union_rule_based_support,"s=(q,o)",batch-flexible training,interactive-heavy inference,"max(0, lambda_lmp * (P_default - P_hat_chosen) - lambda_delay_o * c_delay); P_hat_chosen = epsilon_o * P_chosen + (1 - epsilon_o) * P_default",1.0,0.9,0.5,0.04,0.35,tw_support_offline,TW,eight_dc_exp4_combine_variant_2d_state
model_rules_union,Model + rules union,tw,48,1500,80,7,0.0,0.0,0.0,support_offline,1.0,1.0,deterministic,20.0,0.1,0.95,1.5,0.0,,0.0,0.7,1.0,0.0,True,697.5681081149303,1046352.1621723956,1439053.5764517193,72.71113315686206,392701.41427932377,0.334,0.8526666666666667,0.0872397732734698,2.916510033523817e-07,34.514734583000006,fixed_whittle_oracle_rollout,eight_dc_exp4_combine_variant_2d_state_mit_supercloud_rules_offline_10seed_source.csv,48,2820,8,40,3,0|1|2|3|4|5|6|7,40,2,7,model_informed_union_rule_based_support,"s=(q,o)",batch-flexible training,interactive-heavy inference,"max(0, lambda_lmp * (P_default - P_hat_chosen) - lambda_delay_o * c_delay); P_hat_chosen = epsilon_o * P_chosen + (1 - epsilon_o) * P_default",1.0,0.9,0.5,0.04,0.35,tw_support_offline,TW,eight_dc_exp4_combine_variant_2d_state
model_rules_union,Model + rules union,tw,49,1500,80,7,0.0,0.0,0.0,support_offline,1.0,1.0,deterministic,20.0,0.1,0.95,1.5,0.0,,0.0,0.7,1.0,0.0,True,769.5300530504404,1154295.0795756606,1214368.6732471597,95.05310084203133,60073.59367149905,0.6346666666666667,0.85,0.0871756097037159,2.898667377132889e-07,34.27636995899999,fixed_whittle_oracle_rollout,eight_dc_exp4_combine_variant_2d_state_mit_supercloud_rules_offline_10seed_source.csv,49,2821,8,40,3,0|1|2|3|4|5|6|7,40,2,7,model_informed_union_rule_based_support,"s=(q,o)",batch-flexible training,interactive-heavy inference,"max(0, lambda_lmp * (P_default - P_hat_chosen) - lambda_delay_o * c_delay); P_hat_chosen = epsilon_o * P_chosen + (1 - epsilon_o) * P_default",1.0,0.9,0.5,0.04,0.35,tw_support_offline,TW,eight_dc_exp4_combine_variant_2d_state
model_rules_union,Model + rules union,tw,50,1500,80,7,0.0,0.0,0.0,support_offline,1.0,1.0,deterministic,20.0,0.1,0.95,1.5,0.0,,0.0,0.7,1.0,0.0,True,722.3687750497718,1083553.1625746577,1916306.62434124,56.54383013716012,832753.461766582,0.364,0.7573333333333333,0.0857685742358625,2.880054907923699e-07,33.07871462500003,fixed_whittle_oracle_rollout,eight_dc_exp4_combine_variant_2d_state_mit_supercloud_rules_offline_10seed_source.csv,50,2822,8,40,3,0|1|2|3|4|5|6|7,40,2,7,model_informed_union_rule_based_support,"s=(q,o)",batch-flexible training,interactive-heavy inference,"max(0, lambda_lmp * (P_default - P_hat_chosen) - lambda_delay_o * c_delay); P_hat_chosen = epsilon_o * P_chosen + (1 - epsilon_o) * P_default",1.0,0.9,0.5,0.04,0.35,tw_support_offline,TW,eight_dc_exp4_combine_variant_2d_state
model_rules_union,Model + rules union,tw,51,1500,80,7,0.0,0.0,0.0,support_offline,1.0,1.0,deterministic,20.0,0.1,0.95,1.5,0.0,,0.0,0.7,1.0,0.0,True,724.9088657058263,1087363.2985587397,1199140.2319628512,90.6785769983594,111776.93340411175,0.5346666666666666,0.744,0.0824905260049896,2.6744624952750626e-07,33.00391654200001,fixed_whittle_oracle_rollout,eight_dc_exp4_combine_variant_2d_state_mit_supercloud_rules_offline_10seed_source.csv,51,2823,8,40,3,0|1|2|3|4|5|6|7,40,2,7,model_informed_union_rule_based_support,"s=(q,o)",batch-flexible training,interactive-heavy inference,"max(0, lambda_lmp * (P_default - P_hat_chosen) - lambda_delay_o * c_delay); P_hat_chosen = epsilon_o * P_chosen + (1 - epsilon_o) * P_default",1.0,0.9,0.5,0.04,0.35,tw_support_offline,TW,eight_dc_exp4_combine_variant_2d_state
