seed,n_dc,budget,datacenter_ids,arm,model_weights,active_models,offline_support_edges
42,8,3,0|1|2|3|4|5|6|7,0,rule_based,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
42,8,3,0|1|2|3|4|5|6|7,1,rule_based,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
42,8,3,0|1|2|3|4|5|6|7,2,rule_based,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
42,8,3,0|1|2|3|4|5|6|7,3,rule_based,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
42,8,3,0|1|2|3|4|5|6|7,4,rule_based,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
42,8,3,0|1|2|3|4|5|6|7,5,rule_based,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
42,8,3,0|1|2|3|4|5|6|7,6,rule_based,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
42,8,3,0|1|2|3|4|5|6|7,7,rule_based,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
43,8,3,0|1|2|3|4|5|6|7,0,rule_based,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
43,8,3,0|1|2|3|4|5|6|7,1,rule_based,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
43,8,3,0|1|2|3|4|5|6|7,2,rule_based,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
43,8,3,0|1|2|3|4|5|6|7,3,rule_based,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
43,8,3,0|1|2|3|4|5|6|7,4,rule_based,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
43,8,3,0|1|2|3|4|5|6|7,5,rule_based,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
43,8,3,0|1|2|3|4|5|6|7,6,rule_based,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
43,8,3,0|1|2|3|4|5|6|7,7,rule_based,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
44,8,3,0|1|2|3|4|5|6|7,0,rule_based,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
44,8,3,0|1|2|3|4|5|6|7,1,rule_based,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
44,8,3,0|1|2|3|4|5|6|7,2,rule_based,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
44,8,3,0|1|2|3|4|5|6|7,3,rule_based,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
44,8,3,0|1|2|3|4|5|6|7,4,rule_based,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
44,8,3,0|1|2|3|4|5|6|7,5,rule_based,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
44,8,3,0|1|2|3|4|5|6|7,6,rule_based,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
44,8,3,0|1|2|3|4|5|6|7,7,rule_based,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
45,8,3,0|1|2|3|4|5|6|7,0,rule_based,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
45,8,3,0|1|2|3|4|5|6|7,1,rule_based,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
45,8,3,0|1|2|3|4|5|6|7,2,rule_based,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
45,8,3,0|1|2|3|4|5|6|7,3,rule_based,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
45,8,3,0|1|2|3|4|5|6|7,4,rule_based,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
45,8,3,0|1|2|3|4|5|6|7,5,rule_based,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
45,8,3,0|1|2|3|4|5|6|7,6,rule_based,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
45,8,3,0|1|2|3|4|5|6|7,7,rule_based,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
46,8,3,0|1|2|3|4|5|6|7,0,rule_based,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
46,8,3,0|1|2|3|4|5|6|7,1,rule_based,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
46,8,3,0|1|2|3|4|5|6|7,2,rule_based,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
46,8,3,0|1|2|3|4|5|6|7,3,rule_based,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
46,8,3,0|1|2|3|4|5|6|7,4,rule_based,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
46,8,3,0|1|2|3|4|5|6|7,5,rule_based,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
